str,ru_RU,uz_Cyrl,uz_Latn
roof_tiles,Черепица,Черепица,Cherepitsa
asbestos_sheets_slate,"Асбестовые листы , шифер","Асбест плиталари, шифер","Asbest plitalari, shifer"
reinforced_concrete_slabs,ЖБ плиты,Темир-бетон плиталар,Temir-beton plitalar
wooden_log_cabins,Деревянные срубы,Ёғоч-хода,Yog'och-xoda
metal_trusses,Металлические фермы,Метал ферма,Metal ferma
flat_roof,Плоская,Текис,Tekis
oblique,Наклонная,Қия,Qiya
ground,На земле,Ерда,Yerda
roof,На крыше,Томда,Tomda
up_to_num_m,до {n} м,{n} м.гача,{n} m.gacha
from_num_to_num1_m,от {n} до {n1} м,{n} м.дан {n1} м гача,{n} m.dan {n1} m.gacha
over_num_m,свыше {n} м,{n} м.дан кўп,{n} m.dan ko'p
up_to_num_years,до {n} лет,{n} йилгача,{n} yilgacha
num_to_num1_years,от {n} до {n1} лет,{n} йилдан {n1} йилгача,{n} yildan {n1}yilgacha
over_num_years,свыше {n} лет,{n} йилдан кўп,{n} yildan ko'p
num_mm,{n} мм,{n} мм,{n} mm
from_m_to_n_mm,{m} - {n} мм,{m} - {n} мм,{m} - {n} mm
copper,Медь,Мис,Mis
aluminum,Алюминий,Алюмин,Alyumin
copper_and_aluminum,Медь и Алюминий,Мис ва Алюмин,Mis va Alyumin
Unavailable,Недоступно,Мавжуд эмас,Mavjud emas
BCA_with_number,{num} БРВ = {sum} сум,{n} БҲМ = {res} сўм,{n} BHM = {res} so'm
compensation_is_provided,"Компенсация предоставляется только при установке возобновляемых источников электроэнергии для водяных насосов, установленных в вертикальных скважинах при освоении новых земель","Компенсация фақат янги ерларни ўзлаштириш жараёнида, вертикал қудуқларга ўрнатилган сув насослари учун қайта тикланадиган энергия манбаларини ўрнатиш учун тақдим этилади.","Kompensatsiya faqat yangi erlarni o'zlashtirish jarayonida, vertikal quduqlarga o'rnatilgan suv nasoslari uchun qayta tiklanadigan energiya manbalarini o'rnatish uchun taqdim etiladi."
Cost_in_sum,Стоимость в сум,Нархи сўмда,Narxi so'mda
num_soum_per_month,{n} сум в месяц,{n} сўм ойига,{n} so'm oyiga
description_placeholder,Партнер Energymarket.uz,,
auto_solar_energy,Автономная солнечная электростанция,Автоном қуёш электр станцияси,Avtonom quyosh elektr stansiyasi
hybrid_solar_energy,Гибридная солнечная электростанция,Гибрид қуёш электр станцияси,Gibrid quyosh elektr stansiyasi
network_solar_energy,Сетевая солнечная электростанция,Тармоқли қуёш электр станцияси,Tarmoqli quyosh elektr stansiyasi
Monocrystal,Монокристаллические,Монокристал,Monokristal
Polycrystal,Поликристаллические,Поликристал,Polikristal
favorite_empty,Избранные продукты еще не добавлены,Танланган маҳсулотлар ҳали қўшилмаган,Tanlangan mahsulotlar hali qo'shilmagan
delete_personal_data,Удалить личные данные,Шахсий маълумотларни ўчириш,Shaxsiy ma'lumotlarni o'chirish
delete_personal_data_title,Вы хотите удалить свои личные данные?,Шахсий маълумотларингизни ўчириб ташламоқчимисиз?,Shaxsiy ma'lumotlaringizni o'chirib tashlamoqchimisiz?
search_products,Найти товары,,
select_type,Выберите тип,,
solar_panel,Солнечная панель,,
solar_water_heater,Солнечный водонагреватель,,
specify_the_power,Укажите мощность солнечной панели в кВт,Қуёш панелининг қувватини кВт билан белгиланг,Quyosh panelining quvvatini kVt bilan belgilang
specify_the_volume,Укажите объем солнечного водонагревателя в литрах,,
power_in_kw,Мощность в кВт,Қувват kW,Quvvat kW
volume_in_liters,Объем в литрах,Ҳажм литрда,Hajm litrda
calculate,Рассчитать,Ҳисоблаш,Hisoblash
wrong_input,Введено неверное значение,,Noto'g'ri qiymat kiritildi
calculateCompensation,Расчет компенсации,Конпенсацияни ҳисоблаш,Kompensatsiyani hisoblash
calculateInstallment,Расчет в рассрочку,Муддатли тўловни ҳисоблаш,Muddatli tolovni hisoblash
solar_station_cost,Стоимость оборудования (сум),Қурилманинг нархи (сўм),Qurilmaning narxi (so'm)
number_of_installment_months,Количество месяцев рассрочки,Тўлов ойлари сони,To'lov oylari soni
noProduct,Нет продуктов,,
filters,Фильтры,,
applyFilter,Применить фильтр,,Filterlash
clearFilter,Очистить фильтр,,Filtrni tozalash
from,от ,дан ,dan 
until,до ,гача ,gacha 
ourPartners,Наши партнеры,Бизнинг хамкорларимиз,Bizning hamkorlarimiz
chooseSolarPower,Выберите солнечную электростанцию под свои задачи,Эҳтиёжларингиз учун куёш станциясини танланг,Ehtiyojlaringiz uchun quyosh elektr stantsiyasini tanlang
recommended,Рекомендовано вам,,
registrationOrder,Оформление заявки,Aризани тўлдириш,Arizani to'ldirish
attributes,Характеристики,Хусусиятлари,Xususiyatlari
dealType,Тип сделки,Битим тури,Bitim turi
buyWithCompensation,Купить с компенсацией,Компенсация билан олиш,Kompensatsiya bilan olish
installationAddress,Адрес установки,Ўрнатиш манзили,O'rnatish manzili
chooseRegion,Выберите область,Минтақани танланг,Mintaqani tanlang
selectDistrict,Выберите район,Туманни танланг,Tumanni tanlang
enterAddress,Введите адрес,Манзилни киритинг,Manzilni kiriting
comments,Комментарии,Қўшимча маълумот,Qo'shimcha ma'lumot
addComment,Добавить комментарий,Қўшимча маълумотни киритинг,Qo'shimcha ma'lumotni kiriting
generalInformation,Общая информация о месте установки,Ўрнатиш жойи ҳақида маълумот,O'rnatish joyi haqida ma'lumot
send,Отправить,Юбориш,Yuborish
addPhoto,Добавить изображения,,
buyWithSubsidy,КУПИТЬ С СУБСИДИЯМИ,,
uzs,сум,сўм,so'm
sumMonthShort,сум/мес,сум/ой,so'm/oy
prePaymentZero,Предоплата 0%,,
submitApplication,Оставить заявку,Aриза қолдириш,Ariza qoldirish
description,Описание,Тавсиф,Tavsif
viewAllProducts,Посмотреть все товары,Барча махсулотлар,Barcha mahsulotlar
allProducts,Все товары,Все товары,Barcha mahsulotlar
month_short2,мес,ой,oy
scoring,Скоринг,Скоринг,Skoring
enter_confirmation_code,Введите код подтверждения,Тасдиқлаш кодини киритинг,Tasdiqlash kodini kiriting
user_agreement_for_scoring,Подтверждение согласия Клиента   на проведение скоринга,Мижознинг тўлов қобилиятини   баҳолашга розилигини тасдиқлаш,Mijozning to‘lov qobiliyatini   baholashga roziligini tasdiqlash
an_sms_with_a_code_was_sent_to_the_specified_number,На указанный номер отправлен СМС с кодом,Кўрсатилган рақамга кодли СМС юборилди,Ko'rsatilgan raqamga kodli SMS yuborildi
send_otp_again,Отправить код cнова,СМС кодни қайта жўнатиш,SMS kodni qayta jonatish
cancel,Отмена,Бекор қилиш,Bekor qilish
start_scoring,Запустить скоринг,Скорингни бошланг,Skoringni boshlang
wrong_otp,Неверный отп,Нотўғри код,Notogri kod
rejected,Отклонен,Рад етилган,Rad etilgan
can_buy_product_till,Доступно купить товар до,Қуйидаги суммагача бўлган маҳсулотларни сотиб олиш мумкин,Quyidagi summagacha bo'lgan mahsulotlarni sotib olish mumkin
the_buyer_is_not_available_installment,Покупателю не доступна рассрочка,Муддатли тўлов харидор учун мавжуд емас,Muddatli to'lov xaridor uchun mavjud yemas
close,Закрыть,Ёпиш,Yopish
please_wait_for_the_scoring_process_to_complete,"Пожалуйста, дождитесь завершения процесса скоринга.",Илтимос скоринг жараёни тугашини кутинг.,Iltimos skoring jarayoni tugashini kuting.
identification,Идентификация,Идентификация,Identifikatsiya
not_identified,Вы не прошли идентификацию пройдите идентификацию,"Сиз идентификациядан ўтмагансиз, идентификациядан ўтинг","Siz identifikatsiyadan o'tmagansiz, identifikatsiyadan o'ting"
purchase_via_institute,Покупка через фонд энергосбережения,Энергияни тежаш жамгармаси орқали сотиб олиш,Energiyani tejash jamgarmasi orqali sotib olish
purchase_via_UN,Покупка через программу ООН,БМТ дастури орқали сотиб олиш,BMT dasturi orqali sotib olish
